station_id	stationname	date	daytype	rides
40890	O'Hare Airport	06/22/2018	W	13404
40020	Harlem-Lake	06/15/2018	W	4021
40480	Cicero-Lake	05/28/2018	U	656
41120	35-Bronzeville-IIT	04/12/2018	W	1733
40120	35th/Archer	06/30/2018	A	1645
41020	Logan Square	06/09/2018	A	4156
41060	Ashland-Orange	05/29/2018	W	1604
40470	Racine	06/10/2018	U	1999
41190	Jarvis	06/07/2018	W	1611
41310	Paulina	05/17/2018	W	3013
40550	Irving Park-O'Hare	06/05/2018	W	4541
41700	Washington/Wabash	06/18/2018	W	10170
41140	King Drive	05/21/2018	W	491
40870	Francisco	04/24/2018	W	1659
41040	Kedzie-Cermak	06/06/2018	W	1075
40210	Damen-Cermak	06/19/2018	W	1493
41120	35-Bronzeville-IIT	05/09/2018	W	1602
40390	Forest Park	06/06/2018	W	3577
40220	Western-Forest Park	05/27/2018	U	680
40720	East 63rd-Cottage Grove	05/03/2018	W	1004
40400	Noyes	04/06/2018	W	1010
40670	Western/Milwaukee	04/15/2018	U	1574
41440	Addison-Brown	06/07/2018	W	2698
41160	Clinton-Lake	06/27/2018	W	4795
41380	Bryn Mawr	04/03/2018	W	4567
41150	Kedzie-Midway	05/03/2018	W	3594
40210	Damen-Cermak	05/22/2018	W	1526
40560	Jackson/State	06/18/2018	W	7782
40660	Armitage	04/07/2018	A	2115
41280	Jefferson Park	05/05/2018	A	3708
40710	Chicago/Franklin	05/19/2018	A	2472
40940	Halsted/63rd	05/19/2018	A	351
41350	Oak Park-Lake	06/30/2018	A	1046
40120	35th/Archer	05/23/2018	W	3255
41040	Kedzie-Cermak	05/01/2018	W	1098
40630	Clark/Division	06/01/2018	W	9181
40310	Western-Orange	06/22/2018	W	3277
40330	Grand/State	05/30/2018	W	10710
40360	Southport	06/14/2018	W	3729
40260	State/Lake	04/22/2018	U	4540
41200	Argyle	05/26/2018	A	2511
41490	Harrison	04/10/2018	W	4038
41410	Chicago/Milwaukee	06/29/2018	W	4134
40520	Foster	06/11/2018	W	806
41250	Central-Evanston	06/08/2018	W	849
40320	Division/Milwaukee	05/16/2018	W	6426
40420	Cicero-Cermak	06/06/2018	W	1226
40910	63rd-Dan Ryan	05/27/2018	U	1970
40450	95th/Dan Ryan	06/14/2018	W	9800
41120	35-Bronzeville-IIT	06/20/2018	W	1519
41000	Cermak-Chinatown	05/20/2018	U	3196
41170	Garfield-Dan Ryan	06/07/2018	W	3481
41200	Argyle	05/23/2018	W	3071
41140	King Drive	05/30/2018	W	598
40490	Grand/Milwaukee	04/16/2018	W	2560
40380	Clark/Lake	06/18/2018	W	21863
41300	Loyola	05/07/2018	W	4610
41310	Paulina	05/31/2018	W	2957
41460	Irving Park-Brown	06/19/2018	W	3480
41320	Belmont-North Main	06/23/2018	A	9508
40930	Midway Airport	04/28/2018	A	4037
40390	Forest Park	06/05/2018	W	3490
40360	Southport	06/17/2018	U	1372
40760	Granville	04/17/2018	W	4194
40970	Cicero-Forest Park	06/29/2018	W	1416
40790	Monroe/Dearborn	05/31/2018	W	8713
40100	Morse	05/23/2018	W	4695
41000	Cermak-Chinatown	06/20/2018	W	4394
40660	Armitage	06/09/2018	A	2489
40970	Cicero-Forest Park	05/16/2018	W	1392
41220	Fullerton	04/04/2018	W	13566
41300	Loyola	04/02/2018	W	4292
41040	Kedzie-Cermak	05/21/2018	W	903
41510	Morgan-Lake	05/19/2018	A	2005
40100	Morse	05/03/2018	W	4549
41060	Ashland-Orange	06/29/2018	W	1633
40060	Belmont-O'Hare	05/11/2018	W	5656
40820	Rosemont	05/12/2018	A	3571
41090	Monroe/State	04/04/2018	W	10797
40960	Pulaski-Orange	05/12/2018	A	2099
41160	Clinton-Lake	04/01/2018	U	746
40280	Central-Lake	06/18/2018	W	1912
40790	Monroe/Dearborn	06/03/2018	U	2046
41130	Halsted-Orange	06/29/2018	W	2338
40390	Forest Park	04/13/2018	W	3307
40080	Sheridan	06/23/2018	A	3390
41680	Oakton-Skokie	05/10/2018	W	973
40050	Davis	05/01/2018	W	3916
41330	Montrose-O'Hare	06/22/2018	W	2472
40750	Harlem-O'Hare	04/07/2018	A	1214
41490	Harrison	04/26/2018	W	4893
40830	18th	05/27/2018	U	1539
40120	35th/Archer	05/31/2018	W	3265
40560	Jackson/State	04/24/2018	W	10880
41660	Lake/State	05/21/2018	W	19305
40930	Midway Airport	06/20/2018	W	9055
40780	Central Park	06/02/2018	A	781
41480	Western-Brown	05/25/2018	W	3864
40570	California/Milwaukee	06/02/2018	A	3469
40040	Quincy/Wells	04/28/2018	A	1593
41490	Harrison	04/24/2018	W	4352
